"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VENDOR";
"2";"Blue";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2";"LED";"";"";"";"OVS-0603";"";"15R2205";"";"";"";
"1";"EXMACHINA-LOGO-NAME";"EXMACHINA-LOGO-NAME";"EXM-LOGO-BASELINE";"T2";"";"";"";"";"";"";"unknown";"";"";"";
"1";"FC-135";"FC-135";"FC-135";"X1";"32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 85°C Surface Mount 2-SMD";"";"";"";"Q13FC13500004";"";"31M4970";"";"";"";
"4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP2, JP3, JP4, JP5";"Fiducial Alignment Points";"";"";"";"";"";"unknown";"";"";"";
"1";"LPC1768FBD100";"LPC1768FBD100";"SOT407-1";"U2";"";"Copyright C 2015 Accelerated Designs. All rights reserved";"lpc1768fbd100";"";"LPC1768FBD100";"";"15R1840";"";"";"NXP";
"1";"MMBT2222AL";"MMBT2222AL";"SOT-23";"T1";"General Purpose Transistors";"";"";"ON SEMICONDUCTOR";"MMBT2222ALT1G";"";"84K8795";"";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"unknown";"";"";"";
"2";"SN74LVC3G17DCTR";"SN74LVC3G17DCTR";"SOP65P400X130-8N";"U4, U5";"TRIPLE SCHMITT-TRIGGER BUFFER";"";"";"TEXAS INSTRUMENTS";"SN74LVC3G17DCTR";"1236391";"90H3713";"SSOP-8";"Texas Instruments";"";
"1";"TPL0401A";"TPL0401A";"SC-70-DCK";"U3";"";"";"";"";"ISL90728WIE627Z-TK";"";"65T7357";"";"";"";
"1";"USB3075-30-A";"USB3075-30-A";"USB_MICROB_SMT";"J13";"";"";"";"";"USB3075-30-A";"";"58T0863";"";"";"";
